Timestamp,P(UP),P(DOWN),Momentum,Prediction,Actual Outcome,Correct?,Market Ticker,Volume
2026-02-16 15:15:00,0.4800,0.5200,0,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:16:00,0.5283,0.4717,0.0483,UP,DOWN,Incorrect,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:17:00,0.6717,0.3283,0.1434,UP,DOWN,Incorrect,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:18:00,0.5067,0.4933,-0.165,UP,DOWN,Incorrect,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:19:00,0.4180,0.5820,-0.0887,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:20:00,0.4300,0.5700,0.012,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:21:00,0.4733,0.5267,0.0433,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:22:00,0.4230,0.5770,-0.0503,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:23:00,0.4700,0.5300,0.047,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:24:00,0.4133,0.5867,-0.0567,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:25:00,0.3600,0.6400,-0.0533,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:26:00,0.4933,0.5067,0.1333,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:27:00,0.3850,0.6150,-0.1083,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:28:00,0.3092,0.6908,-0.0758,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:29:00,0.0292,0.9708,-0.28,DOWN,DOWN,Correct,KXBTC15M-26FEB161830-30,143697
2026-02-16 15:30:00,0.5350,0.4650,0,UP,UP,Correct,KXBTC15M-26FEB161845-45,146219
2026-02-16 15:31:00,0.5500,0.4500,0.015,UP,UP,Correct,KXBTC15M-26FEB161845-45,146219
2026-02-16 15:32:00,0.5875,0.4125,0.0375,UP,UP,Correct,KXBTC15M-26FEB161845-45,146219
2026-02-16 15:33:00,0.6270,0.3730,0.0395,UP,UP,Correct,KXBTC15M-26FEB161845-45,146219
2026-02-16 15:34:00,0.7200,0.2800,0.093,UP,UP,Correct,KXBTC15M-26FEB161845-45,146219
